id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Thoughts,Rainy Day,hip-hop,melancholic,0.65,95,0.38,0.72,0.15
12,Bach's Revival,Symphony Hour,classical,peaceful,0.35,80,0.68,0.25,0.94
13,Neon Nights,Synth Wave,electronic,dark,0.87,128,0.32,0.85,0.08
14,Summer Fields,Acoustic Soul,country,uplifting,0.58,105,0.81,0.68,0.82
15,Thunder Strike,Metal Fury,metal,aggressive,0.95,160,0.25,0.78,0.05
16,Island Vibes,Reggae Flow,reggae,romantic,0.52,90,0.75,0.64,0.76
17,Blue Notes,Soul Singer,soul,sad,0.45,85,0.28,0.58,0.88
18,Forest Walk,Folk Tales,folk,peaceful,0.42,72,0.62,0.48,0.91
